Player,Player_Id,Nation,Pos,Age,Born,Squad,Comp,Gls,Gls_rank,Gls_norm,Ast,Ast_rank,Ast_norm,xG,xG_rank,xG_norm,npxG,npxG_rank,npxG_norm,xAG,xAG_rank,xAG_norm,PrgC,PrgC_rank,PrgC_norm,PrgP,PrgP_rank,PrgP_norm,Sh,Sh_rank,Sh_norm,Sh/90,Sh/90_rank,Sh/90_norm,SoT,SoT_rank,SoT_norm,SoT/90,SoT/90_rank,SoT/90_norm,G/Sh,G/Sh_rank,G/Sh_norm,KP,KP_rank,KP_norm,PPA,PPA_rank,PPA_norm,Tkl,Tkl_rank,Tkl_norm,Tkl%,Tkl%_rank,Tkl%_norm,Int,Int_rank,Int_norm,SCA,SCA_rank,SCA_norm,SCA90,SCA90_rank,SCA90_norm,Carries,Carries_rank,Carries_norm,PrgDist_stats_possession,PrgDist_stats_possession_rank,PrgDist_stats_possession_norm,Recov,Recov_rank,Recov_norm,total_minutes,total_minutes_rank,total_minutes_norm,image_url,sub_position,market_value
Vincenzo Grifo,185077,Italy,"FW,MF",31,1993,Freiburg,DE1,8,132,0.2580645161290322,11,6,0.6111111111111112,7.9,120,0.2915129151291513,5.6,185,0.2333333333333333,6.9,46,0.4859154929577465,58,257,0.272300469,128,196,0.3535911602209944,63,87,0.4144736842105263,2.33,329,0.1035555555555555,26,75,0.3466666666666667,0.96,255,0.043047572,0.13,470,0.13,66,18,0.6947368421052632,48,59,0.4324324324324324,30,738,0.2439024390243902,44.1,1344,0.441,9,1021,0.125,121,35,0.599009901,4.48,129,0.035908771,939,272,0.3914130887869946,2516,309,0.3429661941112323,134,167,0.5275590551181102,1999,432,0.7164874551971326,https://img.a.transfermarkt.technology/portrait/header/185077-1658413230.jpg?lm=1,Left Winger,7500000
Vinicius Júnior,371998,Brazil,FW,24,2000,Real Madrid,ES1,11,60,0.3548387096774194,8,30,0.4444444444444444,10.4,58,0.3837638376383764,8.2,84,0.3416666666666666,8,22,0.5633802816901409,169,3,0.7934272300469484,85,523,0.2348066298342541,78,38,0.5131578947368421,3.12,125,0.1386666666666666,24,92,0.32,0.96,255,0.043047572,0.12,547,0.12,58,37,0.6105263157894737,36,136,0.3243243243243243,21,1061,0.1707317073170731,27.8,1808,0.278,3,1528,0.041666667,135,15,0.6683168316831684,5.39,57,0.04320274,952,257,0.3968320133388912,4525,28,0.6168211559432933,71,803,0.2795275590551181,1854,540,0.6645161290322581,https://img.a.transfermarkt.technology/portrait/header/371998-1664869583.jpg?lm=1,Left Winger,200000000
Virgil van Dijk,139208,Netherlands,DF,33,1991,Liverpool,GB1,3,403,0.096774194,1,742,0.055555556,2.2,626,0.081180812,2.2,596,0.091666667,0.7,1188,0.049295775,22,873,0.1032863849765258,198,41,0.5469613259668509,27,498,0.1776315789473684,0.73,1243,0.032444444,8,529,0.1066666666666666,0.2199999999999999,1139,0.009865069,0.11,595,0.11,12,897,0.1263157894736842,7,1074,0.063063063,38,521,0.3089430894308943,59.1,691,0.591,56,11,0.7777777777777778,48,549,0.2376237623762376,1.3,1442,0.010419956,1856,7,0.7736556898707795,4846,22,0.660577972,115,302,0.452755906,2790,1,1,https://img.a.transfermarkt.technology/portrait/header/139208-1702049837.jpg?lm=1,Centre-Back,28000000
Vitaliy Mykolenko,404842,Ukraine,DF,25,1999,Everton,GB1,1,812,0.032258065,2,465,0.1111111111111111,0.5,1383,0.018450185,0.5,1376,0.020833333,2.6,422,0.1830985915492957,33,580,0.1549295774647887,110,308,0.3038674033149171,14,961,0.092105263,0.41,1607,0.018222222,1,1464,0.013333333,0.03,1689,0.001345237,0.07,908,0.07,24,417,0.2526315789473684,40,99,0.3603603603603603,63,119,0.5121951219512195,51.8,987,0.518,44,51,0.6111111111111112,43,638,0.2128712871287128,1.26,1469,0.010099342,697,603,0.2905377240516882,1506,779,0.2052889858233369,88,578,0.3464566929133858,2454,116,0.8795698924731182,https://img.a.transfermarkt.technology/portrait/header/404842-1708012303.jpg?lm=1,Left-Back,28000000
Vitaly Janelt,270171,Germany,MF,26,1998,Brentford,GB1,1,812,0.032258065,3,304,0.1666666666666666,0.8,1167,0.029520295,0.8,1154,0.033333333,2.2,495,0.1549295774647887,17,1055,0.079812207,80,568,0.2209944751381215,14,961,0.092105263,0.56,1419,0.024888889,4,919,0.053333333,0.16,1289,0.007174595,0.07,908,0.07,14,796,0.1473684210526315,23,359,0.2072072072072072,38,521,0.3089430894308943,58.3,722,0.583,27,271,0.375,32,871,0.1584158415841584,1.28,1456,0.010259649,652,667,0.2717799082951229,1278,934,0.1742093784078517,107,375,0.421259843,2195,274,0.7867383512544803,https://img.a.transfermarkt.technology/portrait/header/270171-1649932358.jpg?lm=1,Defensive Midfield,22000000
Vitezslav Jaros,486604,Czech Republic,GK,23,2001,Liverpool,GB1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,0,2058,0,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,0,1952,0,0,1887,0,0,2029,0,,,,0,1925,0,0,2099,0,0,2083,0,7,2186,0.002917882,8,2193,0.001090513,0,2185,0,11,2164,0.003942652,https://img.a.transfermarkt.technology/portrait/header/486604-1696603392.jpg?lm=1,Goalkeeper,5000000
Viti,438971,Spain,DF,26,1997,Las Palmas,ES1,0,1231,0,2,465,0.1111111111111111,0.1,1756,0.003690037,0.1,1755,0.004166667,1.4,774,0.098591549,43,412,0.2018779342723004,44,1070,0.1215469613259668,3,1683,0.019736842,0.14,1889,0.006222222,2,1260,0.026666667,0.09,1511,0.00403571,0,1194,0,12,897,0.1263157894736842,13,678,0.1171171171171171,71,61,0.5772357723577236,68.9,318,0.6890000000000001,27,271,0.375,29,953,0.1435643564356435,1.32,1427,0.010580263,491,986,0.204668612,1498,786,0.2041984732824427,85,620,0.3346456692913386,1444,861,0.5175627240143369,https://img.a.transfermarkt.technology/portrait/header/438971-1702390831.jpg?lm=1,Right-Back,2500000
Vitinha,586853,Portugal,"FW,MF",24,2000,Genoa,IT1,7,162,0.2258064516129032,4,187,0.2222222222222222,5,248,0.1845018450184501,3.4000000000000004,372,0.1416666666666667,5.9,74,0.4154929577464789,91,99,0.4272300469483568,243,14,0.6712707182320442,58,118,0.3815789473684211,4.252223393045312,47,0.1889877063575694,17,194,0.2266666666666666,1.3095258166491044,95,0.058720737,0.06,996,0.06,43,128,0.4526315789473684,47,66,0.4234234234234234,66,89,0.5365853658536586,36.7,1609,0.367,26,300,0.3611111111111111,114,53,0.5643564356435643,8.670326659641727,13,0.069495708,2065,2,0.8607753230512714,5212,11,0.7104689203925845,197,8,0.7755905511811023,2685,26,0.9623655913978496,https://img.a.transfermarkt.technology/portrait/header/586853-1730184491.jpg?lm=1,Centre-Forward,10000000
Vitor Reis,1005575,Brazil,DF,18,2006,Manchester City,GB1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,0,2058,0,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,0,1952,0,0,1887,0,0,2029,0,,,,0,1925,0,0,2099,0,0,2083,0,2,2216,0.000833681,0,2222,0,0,2185,0,1,2195,0.000358423,https://img.a.transfermarkt.technology/portrait/header/1005575-1680449774.jpg?lm=1,Centre-Back,30000000
Vladimír Coufal,157672,Czech Republic,DF,31,1992,West Ham,GB1,0,1231,0,0,1207,0,0.3,1550,0.011070111,0.3,1547,0.0125,0.7,1188,0.049295775,26,737,0.1220657276995305,39,1164,0.1077348066298342,7,1379,0.046052632,0.59,1381,0.026222222,2,1260,0.026666667,0.17,1258,0.007623008,0,1194,0,8,1137,0.084210526,13,678,0.1171171171171171,22,1014,0.1788617886178861,45.5,1291,0.455,8,1092,0.1111111111111111,18,1275,0.089108911,1.52,1316,0.012183333,298,1400,0.1242184243434764,888,1247,0.1210468920392584,39,1361,0.1535433070866141,733,1461,0.2627240143369175,https://img.a.transfermarkt.technology/portrait/header/157672-1667897675.jpg?lm=1,Right-Back,7000000
Wahbi Khazri,103565,Tunisia,"FW,MF",33,1991,Montpellier,FR1,1,812,0.032258065,1,742,0.055555556,2.3,597,0.084870849,2.3,565,0.095833333,2.2,495,0.1549295774647887,24,801,0.1126760563380281,33,1285,0.091160221,36,329,0.2368421052631578,2.9,167,0.1288888888888889,6,696,0.08,0.48,697,0.021523786,0.03,1164,0.03,18,612,0.1894736842105263,8,980,0.072072072,25,912,0.2032520325203252,38.1,1567,0.381,5,1329,0.069444444,39,701,0.193069307,3.27,424,0.026210196,259,1496,0.1079616506877865,710,1394,0.096782988,44,1260,0.1732283464566929,1058,1169,0.3792114695340501,https://img.a.transfermarkt.technology/portrait/header/103565-1702663230.JPG?lm=1,Left Winger,1500000
Waldemar Anton,193004,Germany,DF,28,1996,Dortmund,DE1,2,564,0.064516129,2,465,0.1111111111111111,1.7,758,0.062730627,1.7,735,0.070833333,0.8,1122,0.056338028,32,599,0.1502347417840375,117,258,0.3232044198895027,19,761,0.125,0.88,1092,0.039111111,3,1078,0.04,0.14,1359,0.006277771,0.11,595,0.11,6,1297,0.063157895,6,1147,0.054054054,34,627,0.2764227642276423,73.9,214,0.7390000000000001,30,202,0.4166666666666667,41,667,0.2029702970297029,1.9,1065,0.015229166,1386,55,0.5777407253022092,3497,105,0.476690294,122,241,0.4803149606299212,1408,889,0.5046594982078854,https://img.a.transfermarkt.technology/portrait/header/193004-1723922551.jpg?lm=1,Centre-Back,18000000
Walid Cheddira,521407,Morocco,FW,26,1998,Espanyol,ES1,1,812,0.032258065,1,742,0.055555556,1,1049,0.036900369,1,1031,0.041666667,1.2,865,0.084507042,8,1464,0.037558685,13,1680,0.035911602,13,1014,0.085526316,1.83,554,0.081333333,4,919,0.053333333,0.56,607,0.025111084,0.08,824,0.08,7,1212,0.073684211,1,1707,0.009009009,5,1746,0.040650407,0,1948,0,1,1767,0.013888889,21,1175,0.1039603960396039,2.81,590,0.022523135,109,1869,0.045435598,219,1894,0.029852781,19,1725,0.07480315,608,1572,0.217921147,https://img.a.transfermarkt.technology/portrait/header/521407-1686124424.jpg?lm=1,Centre-Forward,3000000
Warmed Omari,711996,Comoros,DF,24,2000,Lyon,FR1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,0,2058,0,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,0,1952,0,0,1887,0,0,2029,0,,,,0,1925,0,0,2099,0,0,2083,0,3,2211,0.001250521,4,2206,0.000545256,0,2185,0,7,2177,0.002508961,https://img.a.transfermarkt.technology/portrait/header/711996-1632760467.jpg?lm=1,Centre-Back,4000000
Warren Bondo,659516,France,MF,20,2003,Milan,IT1,0,1231,0,0,1207,0,0.4,1458,0.014760148,0.4,1452,0.016666667,0.4,1415,0.028169014,27,709,0.1267605633802817,46,1034,0.1270718232044199,14,961,0.092105263,0.56,1419,0.024888889,2,1260,0.026666667,0.56,607,0.025111084,0,1194,0,6,1297,0.063157895,8,980,0.072072072,40,466,0.3252032520325203,100,1,1,5,1329,0.069444444,27,1009,0.1336633663366336,0.56,1840,0.004488596,577,793,0.2405168820341809,1593,718,0.2171483097055616,103,419,0.405511811,1785,600,0.6397849462365591,https://img.a.transfermarkt.technology/portrait/header/659516-1739281834.jpg?lm=1,Central Midfield,10000000
Warren Zaïre-Emery,810092,France,"MF,DF",18,2006,Paris S-G,FR1,1,812,0.032258065,2,465,0.1111111111111111,1.7,758,0.062730627,1.7,735,0.070833333,1.4,774,0.098591549,49,347,0.2300469483568075,135,171,0.3729281767955801,17,834,0.1118421052631579,0.75,1217,0.033333333,7,605,0.093333333,0.31,924,0.013900779,0.06,996,0.06,18,612,0.1894736842105263,9,911,0.081081081,51,252,0.4146341463414634,51.1,1009,0.511,23,376,0.3194444444444444,52,474,0.2574257425742574,2.28,839,0.018274999,1211,93,0.5047936640266778,3200,150,0.4362050163576881,136,153,0.5354330708661418,1659,702,0.5946236559139785,https://img.a.transfermarkt.technology/portrait/header/810092-1672303575.jpg?lm=1,Central Midfield,60000000
