Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Gls,Ast,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,Sh/90,SoT,SoT/90,G/Sh,KP,PPA,Tkl,Tkl%,Int,SCA,SCA90,Carries,PrgDist_stats_possession,Recov
2348,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,21,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,,0,3,0.35,191,553,19
2349,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,22,2002,0,0,0.4,0.4,0.6,1,0,0.22,24,17,43,8,1.78,4,0.89,0,5,8,12,66.7,2,16,3.56,191,661,15
2350,Pablo Sarabia,es ESP,"MF,FW",Wolves,eng Premier League,32,1992,3,2,2.9,2.9,1.8,4.6,0.55,0.51,15,60,62,17,1.88,8,0.88,0.18,15,20,16,62.5,4,28,3.1,325,731,34
2351,Jeremy Sarmiento,ec ECU,MF,Brighton,eng Premier League,22,2002,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,,0,0,0,6,10,1
2352,Amin Sarr,se SWE,FW,Hellas Verona,it Serie A,23,2001,4,1,3.2,3.2,2.1,5.4,0.24,0.25,31,41,103,23,1.09,7,0.33,0.17,22,16,22,50,3,45,2.13,345,712,42
2353,Ismaila Sarr,sn SEN,MF,Crystal Palace,eng Premier League,26,1998,8,6,10.8,10.8,8.5,19.3,0.46,0.64,76,86,183,59,1.96,29,0.96,0.14,44,42,22,32,9,110,3.65,608,2117,113
2354,Malang Sarr,fr FRA,DF,Lens,fr Ligue 1,25,1999,0,0,0.3,0.3,0.3,0.6,0,0.04,4,54,1,6,0.39,1,0.06,0,5,2,21,59.3,22,21,1.36,665,1458,69
2355,Mamadou Sarr,fr FRA,DF,Strasbourg,fr Ligue 1,18,2005,0,1,0.8,0.8,0.3,1.1,0.04,0.04,7,52,1,5,0.19,0,0,0,5,1,37,66.7,25,12,0.46,1241,2691,98
2356,Martin Satriano,uy URU,"FW,DF",Lens,fr Ligue 1,23,2001,0,0,0.4,0.4,0.1,0.5,0,0.5,2,2,14,5,5.11,0,0,0,2,0,3,100,0,2,2.02,24,41,6
2357,Razvan Sava,ro ROU,GK,Udinese,it Serie A,22,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,262,698,13
2358,Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,32,1991,2,5,3.8,2.3,6.9,9.1,0.19,0.42,26,183,108,45,1.71,14,0.53,0,67,31,29,41.9,15,122,4.83,909,1948,117
2359,Sávio,br BRA,"FW,MF",Manchester City,eng Premier League,20,2004,1,8,5,5,6.9,11.9,0.46,0.61,137,67,246,55,2.8,21,1.07,0.02,46,47,23,52.6,6,111,5.66,783,3559,79
2360,Nicolò Savona,it ITA,DF,Juventus,it Serie A,21,2003,2,1,0.5,0.5,1.2,1.7,0.16,0.09,35,59,44,6,0.31,4,0.21,0.33,16,12,29,52,11,29,1.51,778,1691,72
2361,Saba Sazonov,ge GEO,DF,Torino,it Serie A,22,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0
2362,Joe Scally,us USA,DF,Gladbach,de Bundesliga,21,2002,0,0,0.4,0.4,1.1,1.5,0,0.05,52,68,69,6,0.21,1,0.03,0,11,15,45,58.7,16,28,0.98,980,2644,97
2363,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,20,2003,0,0,0.1,0.1,0,0.1,0,0.05,5,20,7,4,1.32,0,0,0,0,2,8,55.6,4,1,0.33,158,380,13
2364,Gianluca Scamacca,it ITA,FW,Atalanta,it Serie A,25,1999,0,0,0.1,0.1,0,0.1,0,1.29,0,0,0,1,15,1,15,0,0,0,0,,0,0,0,2,0,0
2365,Oliver Scarles,eng ENG,"DF,FW",West Ham,eng Premier League,18,2005,0,0,0.1,0.1,0.1,0.2,0,0.03,12,22,44,3,0.41,0,0,0,2,5,21,63.6,11,6,0.81,219,483,34
2366,Dane Scarlett,eng ENG,"FW,MF",Tottenham,eng Premier League,20,2004,0,1,0,0,0,0.1,2.65,0.22,1,1,1,1,2.65,1,2.65,0,1,0,1,,0,1,2.65,5,33,3
2367,Kevin Schade,de GER,FW,Brentford,eng Premier League,22,2001,11,2,8.2,8.2,3.7,11.9,0.51,0.47,61,38,165,55,2.16,27,1.06,0.2,23,11,39,56.5,5,57,2.24,434,1357,83
2368,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,25,1999,1,1,0.6,0.6,0.9,1.5,0.12,0.09,23,55,42,12,0.7,1,0.06,0.08,10,12,52,61,22,29,1.7,362,698,72
2369,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,32,1991,4,0,3.7,3.7,0.4,4.1,0.12,0.13,18,118,22,40,1.23,11,0.34,0.1,5,13,36,40,45,37,1.13,1438,3744,134
2370,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,28,1996,21,0,12.7,11.9,0.6,12.5,1.07,0.71,7,21,107,68,3.63,32,1.71,0.29,11,6,6,20,4,34,1.82,312,266,29
2371,Stefan Schimmer,de GER,"FW,MF",Heidenheim,de Bundesliga,30,1994,0,0,1.1,1.1,0.3,1.3,0,0.48,0,3,15,10,3.64,2,0.73,0,4,2,2,50,0,4,1.45,38,23,9
2372,Joël Schingtienne,be BEL,DF,Venezia,it Serie A,21,2002,0,0,0,0,0.1,0.1,0,0.01,5,28,4,0,0,0,0,,3,2,27,63.2,14,10,0.8,299,669,49
2373,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,26,1997,0,0,0.1,0.1,0.7,0.8,0,0.38,5,6,2,1,0.5,0,0,0,1,1,4,42.9,0,2,0.99,56,225,8
2374,Keven Schlotterbeck,de GER,DF,Augsburg,de Bundesliga,27,1997,3,1,0.8,0.8,0.6,1.4,0.28,0.1,3,59,2,12,0.83,4,0.28,0.25,7,3,19,75,15,24,1.67,424,731,55
2375,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,24,1999,0,4,1.3,1.3,2.1,3.4,0.18,0.15,37,195,14,17,0.77,4,0.18,0,18,10,38,60,22,50,2.27,1467,4107,157
2376,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,eng Premier League,31,1992,0,0,0.2,0.2,0.2,0.3,0,0.28,4,5,9,4,3.5,2,1.75,0,3,2,2,0,0,7,6.06,30,67,6
2377,Romano Schmid,at AUT,MF,Werder Bremen,de Bundesliga,24,2000,5,4,4.3,3.5,6.2,9.7,0.25,0.33,107,279,201,47,1.49,13,0.41,0.09,68,90,43,47.1,11,151,4.8,1315,3864,167
2378,Niklas Schmidt,de GER,MF,Toulouse,fr Ligue 1,26,1998,0,1,0.1,0.1,0.7,0.8,0.44,0.34,2,23,1,3,1.32,1,0.44,0,5,4,6,57.1,1,12,5.27,109,228,24
2379,Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,25,1999,4,3,3.9,3.9,3.4,7.3,0.23,0.25,35,107,48,41,1.38,13,0.44,0.1,25,19,56,34.5,43,56,1.88,704,1993,130
2380,Marvin Schulz,de GER,"MF,DF",Holstein Kiel,de Bundesliga,29,1995,0,0,0,0,0.7,0.7,0,0.2,5,11,2,3,0.88,1,0.29,0,4,3,6,25,0,8,2.34,95,300,18
2381,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,32,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,,0,0,0,138,322,10
2382,Léo Scienza,br BRA,"FW,MF",Heidenheim,de Bundesliga,25,1998,3,3,2,2,3.7,5.8,0.47,0.45,70,30,90,38,2.97,15,1.17,0.08,34,14,17,38.9,5,82,6.39,368,2126,53
2383,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,20,2003,0,0,0.7,0.7,0.9,1.6,0,0.19,15,52,33,15,1.79,6,0.72,0,12,5,27,45.2,10,29,3.45,247,663,52
2384,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0.15,201,641,17
2385,Simone Scuffet,it ITA,GK,Napoli,it Serie A,28,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,27,51,0
2386,Jérémy Sebas,mq MTQ,"FW,MF",Strasbourg,fr Ligue 1,21,2003,0,0,0.7,0.7,0,0.7,0,0.35,6,3,10,6,2.84,2,0.95,0,1,2,3,66.7,0,4,1.91,41,156,10
2387,Aleksandar Sedlar,rs SRB,DF,Alavés,es La Liga,32,1991,0,0,0,0,0,0,0,0,2,12,1,1,0.15,0,0,0,0,0,18,80,10,2,0.3,141,489,18
2388,Jacopo Seghetti,it ITA,GK,Empoli,it Serie A,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,12,44,0
2389,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,24,2000,0,0,0.1,0.1,0.3,0.4,0,0.05,23,41,17,3,0.34,0,0,0,5,8,22,80,14,12,1.34,338,1091,67
2390,Nicolas Seiwald,at AUT,"MF,DF",RB Leipzig,de Bundesliga,23,2001,0,0,0.2,0.2,1.7,2,0,0.08,17,140,30,5,0.22,0,0,0,20,27,53,50,31,49,2.12,760,1400,125
2391,Hiroki Sekine,jp JPN,DF,Reims,fr Ligue 1,21,2002,0,0,0.1,0.1,0.2,0.4,0,0.04,22,39,40,5,0.51,0,0,0,3,9,9,41.2,5,19,1.93,328,931,21
2392,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,32,1992,0,0,0,0,0.4,0.4,0,0.01,1,2,0,0,0,0,0,,2,4,1,100,0,6,0.16,528,1697,17
