Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Gls,Ast,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,Sh/90,SoT,SoT/90,G/Sh,KP,PPA,Tkl,Tkl%,Int,SCA,SCA90,Carries,PrgDist_stats_possession,Recov
631,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32,1992,0,0,0.1,0.1,0,0.2,0,0.01,9,53,12,4,0.24,0,0,0,2,2,26,62.5,9,14,0.84,337,668,46
632,Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24,2000,5,4,2.7,2.7,4.1,6.9,0.36,0.27,59,66,131,33,1.32,14,0.56,0.15,24,32,32,48.6,13,51,2.03,543,1661,109
633,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36,1988,0,2,0.9,0.9,2,2.9,0.22,0.31,41,64,90,16,1.73,4,0.43,0,19,24,19,47.8,7,37,4,462,1511,31
634,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17,2007,0,3,0.8,0.8,1.6,2.5,0.1,0.08,26,191,6,8,0.28,0,0,0,9,4,34,63.3,16,35,1.2,1823,4999,102
635,Cucho,co COL,FW,Betis,es La Liga,25,1999,5,1,3.8,3.8,1.5,5.3,0.47,0.42,27,34,82,43,3.4,11,0.87,0.12,14,10,15,54.5,7,46,3.64,250,507,28
636,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26,1998,5,1,2.8,2.8,2.1,4.9,0.18,0.15,35,118,117,24,0.72,11,0.33,0.21,19,12,67,52.5,28,51,1.54,944,2336,130
637,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,24,1999,0,0,0,0,0,0,0,0.01,0,10,0,1,0.26,0,0,0,0,0,6,37.5,2,1,0.26,89,140,10
638,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25,1999,15,6,8.6,8.6,7.7,16.4,0.73,0.57,112,144,161,110,3.81,44,1.52,0.14,56,58,38,33.3,17,132,4.57,904,3336,125
639,Patrick Cutrone,it ITA,FW,Como,it Serie A,26,1998,7,4,7.1,6.3,2.1,8.4,0.48,0.41,53,31,155,69,3.03,26,1.14,0.1,19,10,16,50,5,49,2.15,445,1067,54
640,Tomáš _van_ara,cz CZE,FW,Gladbach,de Bundesliga,23,2000,2,0,3.8,3.8,0.9,4.7,0.22,0.51,15,23,50,24,2.6,9,0.97,0.08,6,8,4,28.6,5,15,1.62,185,352,23
641,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,29,1995,0,0,0.2,0.2,0,0.2,0,0.63,1,2,0,1,3.21,0,0,0,0,0,0,0,1,0,0,11,33,6
642,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35,1988,0,1,0.5,0.5,0.4,0.9,0.08,0.08,10,34,16,9,0.74,4,0.33,0,5,6,28,60.9,15,8,0.66,443,803,46
643,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23,2001,3,2,2,2,3.8,5.8,0.17,0.2,63,154,85,37,1.27,14,0.48,0.08,55,29,45,51.3,17,110,3.79,1200,3078,157
644,Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24,2000,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,,0,1,2,50,0,1,2.09,21,35,1
645,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26,1998,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,1,50,0,2,0.11,479,1355,33
646,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,30,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,0.11,234,603,15
647,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,28,1996,1,1,0.5,0.5,0.7,1.2,0.49,0.31,1,17,6,7,1.73,2,0.49,0.14,8,5,9,66.7,2,13,3.21,160,211,20
648,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25,1998,1,0,1.3,1.3,0.1,1.3,0.12,0.16,11,8,36,15,1.83,4,0.49,0.07,1,1,19,38.9,1,10,1.23,141,321,18
649,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22,2002,0,0,0.1,0.1,0.2,0.2,0,0.05,1,12,0,1,0.21,0,0,0,2,1,6,100,9,4,0.83,239,616,17
650,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23,2000,3,2,4.3,4.3,0.6,4.9,0.39,0.38,9,17,84,31,2.42,11,0.86,0.1,12,4,10,100,1,27,2.11,243,213,35
651,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25,1999,0,3,2,2,2,4.1,0.1,0.13,62,103,168,25,0.8,5,0.16,0,26,25,68,65.4,37,74,2.37,1126,2699,167
652,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24,2000,2,10,2.8,2.8,8.4,11.2,0.37,0.35,73,234,137,35,1.08,7,0.22,0.06,63,73,83,38.3,27,120,3.71,1075,3075,179
653,Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,18,2006,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,,0,0,0,,0,0,0,5,6,2
654,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23,2001,0,0,0.1,0.1,0.1,0.2,0,0.02,8,38,8,3,0.27,1,0.09,0,2,3,26,62.5,7,11,0.98,285,671,44
655,Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,23,2001,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,,0,0,8,50,4,7,2.31,54,61,19
656,Danilo,br BRA,DF,Juventus,it Serie A,33,1991,0,1,0.1,0.1,0.4,0.5,0.15,0.08,16,45,7,1,0.15,0,0,0,3,2,10,50,9,10,1.55,381,1136,24
657,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27,1997,2,0,0.8,0.8,0,0.8,0.9,0.38,4,1,17,6,2.7,3,1.35,0.33,1,0,2,0,0,2,0.9,25,98,2
658,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27,1997,2,0,3.6,3.6,1.7,5.3,0.13,0.35,91,41,185,30,2.02,14,0.94,0.07,22,24,8,28.6,2,40,2.7,394,2010,40
659,Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0
660,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20,2004,0,0,1.5,1.5,2.2,3.7,0,0.23,19,95,50,17,1.05,3,0.18,0,25,11,49,43.5,20,54,3.33,570,1230,102
661,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,25,1998,0,0,0.4,0.4,0.1,0.5,0,0.05,11,19,1,7,0.75,3,0.32,0,2,2,7,54.5,6,9,0.96,446,1192,27
662,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25,1998,0,0,0.5,0.5,1,1.5,0,0.13,9,52,1,10,0.83,2,0.17,0,6,4,19,75,20,12,1,489,1602,59
663,Dante,br BRA,DF,Nice,fr Ligue 1,40,1983,0,0,0.5,0.5,0.2,0.6,0,0.03,18,96,8,9,0.41,2,0.09,0,4,8,32,51.7,34,21,0.96,949,2469,112
664,Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,,,1,0,1,1,0.2,1.2,1.15,1.41,2,2,3,5,5.77,2,2.31,0.2,1,0,2,50,3,1,1.15,40,71,9
665,Mohamed Daramy,dk DEN,FW,Reims,fr Ligue 1,22,2002,0,0,0,0,0.1,0.1,0,0.51,3,0,2,1,5.63,0,0,0,1,0,0,,0,2,11.25,5,45,0
666,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,18,2006,1,1,1,1,1,2.1,0.14,0.14,5,39,24,11,0.76,1,0.07,0.09,11,9,24,53.3,12,24,1.66,287,382,52
667,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,30,1993,2,6,2.1,2.1,3.7,5.8,0.26,0.19,37,142,83,36,1.18,9,0.3,0.06,54,33,40,37,16,96,3.15,911,2211,122
668,Matteo Darmian,it ITA,DF,Inter,it Serie A,34,1989,3,2,1.9,1.9,1.5,3.5,0.25,0.18,14,45,102,11,0.56,3,0.15,0.27,15,15,28,56,10,34,1.72,593,864,39
669,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25,1998,1,1,2.7,1.9,0.7,2.6,0.44,0.74,8,11,19,8,1.75,4,0.87,0.13,6,1,4,22.2,0,10,2.18,116,260,17
670,Juan David Cabal,co COL,DF,Juventus,it Serie A,23,2001,0,0,0.1,0.1,0,0.2,0,0.04,14,17,19,5,0.98,0,0,0,1,3,10,66.7,2,3,0.59,242,774,20
671,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24,2000,16,5,16.2,10.7,4.4,15.1,0.53,0.73,40,65,184,66,2.33,28,0.99,0.15,36,26,24,42.9,7,74,2.61,518,1154,66
672,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23,2000,1,2,1.2,1.2,1.6,2.8,0.17,0.16,81,120,140,17,0.98,3,0.17,0.06,27,16,30,65.4,13,61,3.52,895,2807,115
673,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31,1993,0,0,0.3,0.3,0.2,0.5,0,0.03,14,52,6,5,0.34,1,0.07,0,2,2,17,52.9,12,8,0.54,658,1814,41
674,Keinan Davis,eng ENG,FW,Udinese,it Serie A,26,1998,2,1,2.9,2.9,2.1,5,0.25,0.42,26,22,77,29,2.45,11,0.93,0.07,20,8,9,50,1,35,2.95,231,605,34
675,Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,24,2000,1,2,1,1,4.9,5.8,0.1,0.19,52,59,137,16,0.52,2,0.07,0.06,61,28,46,62.5,25,93,3.05,708,2073,113
676,Zuriko Davitashvili,ge GEO,"FW,MF",Saint-_tienne,fr Ligue 1,23,2001,9,8,8.1,6.6,4.7,11.3,0.49,0.43,95,73,224,68,2.2,24,0.78,0.1,50,23,22,30.6,14,115,3.85,764,2388,117
677,Pawe_ Dawidowicz,pl POL,"DF,MF",Hellas Verona,it Serie A,29,1995,0,0,0.3,0.3,0,0.3,0,0.01,10,39,3,4,0.2,0,0,0,0,1,45,66.7,20,8,0.39,457,1229,54
678,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34,1990,0,0,0.5,0.5,0,0.5,0,0.05,6,20,5,5,0.46,1,0.09,0,2,1,15,80,9,7,0.65,390,938,35
679,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33,1991,4,7,5.1,5.1,8,13.1,0.58,0.69,51,157,150,57,3.01,15,0.79,0.07,57,59,17,21.7,7,113,5.97,812,2076,64
680,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,eng Premier League,31,1993,1,2,0.8,0.8,1.2,2,0.36,0.24,14,15,48,7,0.85,3,0.36,0.14,6,5,9,28.6,0,13,1.57,174,389,29
681,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23,2001,7,7,7.3,7.3,6,13.2,0.61,0.57,108,140,211,48,2.09,20,0.87,0.15,39,53,13,26.7,3,88,3.83,832,3023,78
682,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30,1994,3,5,1.3,1.3,5.6,6.9,0.34,0.29,85,231,64,19,0.81,4,0.17,0.16,42,58,33,42.4,6,90,3.84,1373,4286,128
683,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,35,118,2
684,Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,31,1992,1,0,0.6,0.6,0.2,0.8,0.12,0.09,4,18,7,5,0.59,3,0.35,0.2,3,4,18,82.4,8,8,0.94,161,257,27
685,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36,1988,1,0,0.8,0.8,0.3,1.1,0.08,0.09,4,46,30,9,0.76,4,0.34,0.11,5,6,11,43.8,10,14,1.19,313,444,26
686,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26,1998,0,0,0.1,0.1,0,0.1,0,0.07,1,9,2,1,0.47,0,0,0,0,0,6,100,4,0,0,83,212,6
687,Koni De Winter,be BEL,DF,Genoa,it Serie A,22,2002,3,0,2.1,2.1,0.2,2.3,0.13,0.1,10,56,10,13,0.55,7,0.3,0.23,3,3,33,68,25,15,0.63,807,1986,114
688,Amar Dedi_,ba BIH,DF,Marseille,fr Ligue 1,21,2002,0,1,0.9,0.9,0.9,1.8,0.29,0.51,21,16,46,6,1.72,2,0.57,0,4,2,5,30,3,14,4.01,180,748,18
689,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28,1995,2,1,1.7,1.7,0.6,2.4,0.19,0.15,11,40,36,18,1.13,5,0.31,0.11,6,8,31,31.3,13,26,1.63,332,553,68
690,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28,1996,6,4,4.7,1.5,3.4,4.9,0.5,0.58,29,61,106,17,1.22,8,0.57,0.18,37,26,31,59.4,6,67,4.79,438,951,73
691,Enrico Del Prato,it ITA,DF,Parma,it Serie A,24,1999,4,0,2,2,1.2,3.2,0.12,0.1,8,81,31,12,0.37,5,0.15,0.33,14,9,33,73.1,19,32,0.98,1006,1880,120
692,Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,32,1992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,100,1,0,0,2,5,0
693,Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21,2003,12,2,9.3,7.8,1.9,9.7,0.42,0.39,61,30,110,66,2.29,29,1.01,0.15,21,6,11,13.3,2,62,2.15,445,1586,68
694,Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,23,2001,3,1,1.1,1.1,0.8,1.9,0.38,0.18,23,26,57,16,1.52,5,0.48,0.19,10,4,10,33.3,4,24,2.28,257,704,48
695,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32,1991,0,0,1.3,1.3,0.9,2.2,0,0.38,4,6,20,17,2.52,6,0.89,0,7,2,4,50,0,12,2.09,90,172,9
696,Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24,2000,0,0,0,0,0.1,0.1,0,0.15,2,4,1,0,0,0,0,,1,1,6,28.6,3,1,1.34,31,72,5
697,Ali Dembélé,fr FRA,DF,Torino,it Serie A,20,2004,1,0,0.4,0.4,0.1,0.5,0.23,0.1,8,12,8,5,1.16,2,0.46,0.2,3,1,9,100,1,7,1.62,101,226,15
698,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27,1997,21,6,16.6,15.8,8.2,24,1.35,1.29,127,137,252,96,4.99,49,2.55,0.21,63,55,11,33.3,9,110,5.72,878,3447,39
699,Ermedin Demirovi_,ba BIH,FW,Stuttgart,de Bundesliga,26,1998,15,1,14.1,12.4,1.9,14.3,0.78,0.78,20,31,115,64,3.11,27,1.31,0.23,18,10,12,25,3,47,2.28,305,586,33
700,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,22,2001,0,0,2,2,0.8,2.8,0,0.1,12,79,28,20,0.7,6,0.21,0,6,3,39,65.5,21,22,0.77,737,1974,97
701,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,28,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,25,54,0
702,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,3,0.17,296,1078,12
703,Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,20,2003,1,1,0.8,0.8,0.6,1.4,0.36,0.25,5,21,13,10,1.78,6,1.07,0.1,7,4,17,42.1,0,15,2.66,134,333,27
704,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,eng Premier League,25,1998,0,1,0.2,0.2,1.1,1.3,0.34,0.44,5,14,11,1,0.34,0,0,0,3,3,8,66.7,2,5,1.7,95,221,9
705,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27,1997,0,0,0,0,0.5,0.5,0,0.01,0,0,0,0,0,0,0,,1,0,0,,1,2,0.06,672,2211,36
706,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30,1993,3,2,2.8,2.8,3.9,6.7,0.14,0.18,50,224,163,21,0.57,6,0.16,0.14,37,54,66,64.6,31,80,2.16,1202,2675,94
707,Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,27,1996,9,3,7.1,7.1,4.2,11.3,0.5,0.47,23,51,114,39,1.61,19,0.79,0.23,26,7,22,43.8,6,55,2.27,452,820,55
708,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,27,1996,2,0,1.5,1.5,0,1.5,0.28,0.21,5,14,2,11,1.52,4,0.55,0.18,1,2,8,66.7,11,4,0.55,222,486,23
709,Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,18,2005,2,1,1,1,1.1,2.2,0.31,0.23,61,17,77,18,1.89,8,0.84,0.11,13,6,12,50,4,37,3.88,288,1568,38
710,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,23,2001,4,1,2.3,2.3,0.2,2.5,0.16,0.08,15,90,3,16,0.52,7,0.23,0.25,3,0,31,69.2,27,19,0.62,1606,4516,139
711,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,20,2003,4,1,5.5,4.7,1.1,5.8,0.28,0.36,24,44,93,26,1.44,9,0.5,0.15,11,12,20,47.4,3,39,2.16,319,728,59
712,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,eng Premier League,22,2002,8,6,4.7,4.7,4.9,9.6,0.66,0.45,109,60,200,47,2.23,17,0.8,0.17,49,35,38,59.4,11,97,4.59,782,2750,109
713,Assane Diao,sn SEN,"FW,MF",Como,it Serie A,18,2005,8,1,4,4,0.4,4.4,0.65,0.31,50,36,116,28,2.01,13,0.93,0.29,8,13,25,42.9,3,31,2.23,376,1349,41
714,Assane Diao,sn SEN,FW,Betis,es La Liga,18,2005,1,2,0.8,0.8,1.5,2.3,0.97,0.75,9,1,27,7,2.27,1,0.32,0.14,8,1,5,44.4,0,7,2.28,63,145,12
715,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,20,2004,4,5,3.3,1.8,4.5,6.3,0.27,0.3,61,116,114,25,0.96,10,0.38,0.08,27,27,22,40,13,57,2.18,709,1837,90
716,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,23,2000,0,0,0,0,0.1,0.2,0,0.01,12,70,31,1,0.05,0,0,0,3,8,40,58.6,21,18,0.87,499,1080,76
717,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27,1997,0,0,1.5,1.5,0.3,1.8,0,0.07,43,160,8,21,0.83,7,0.28,0,5,12,17,53.8,20,26,1.03,1775,6017,78
718,Krépin Diatta,sn SEN,"DF,FW",Monaco,fr Ligue 1,25,1999,0,0,0.2,0.2,0.8,1,0,0.17,17,21,41,2,0.35,1,0.18,0,4,6,18,58.3,9,10,1.77,205,693,36
719,Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,24,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,2,0,0
720,Mahamadou Diawara,fr FRA,MF,Le Havre,fr Ligue 1,19,2005,0,1,0.4,0.4,0.4,0.8,0.15,0.12,9,16,6,7,1.08,1,0.15,0,7,1,20,61.5,13,14,2.16,180,502,40
721,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,19,2005,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,1,33.3,0,0,0,2,28,3
722,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,24,1999,4,2,5.3,5.3,3.3,8.6,0.39,0.56,39,74,110,28,1.82,15,0.97,0.14,23,19,25,36.8,4,56,3.64,541,1223,54
723,Daniel Díaz,es ESP,MF,Real Sociedad,es La Liga,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,0,0,1,0,0
724,Luis Díaz,co COL,FW,Liverpool,eng Premier League,27,1997,13,5,12,12,5,17.1,0.68,0.64,108,110,293,71,2.66,30,1.13,0.18,56,46,39,38.5,7,117,4.39,780,2960,105
725,Pedro Díaz,es ESP,MF,Rayo Vallecano,es La Liga,26,1998,3,0,2.4,1.6,2.1,3.7,0.22,0.33,27,62,49,31,2.3,7,0.52,0.1,26,17,23,34.1,7,50,3.72,390,1177,80
726,Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18,2006,2,0,2.5,2.5,1.5,4.1,0.1,0.2,69,64,96,28,1.34,9,0.43,0.07,20,20,34,61.5,8,56,2.69,558,2215,80
727,Diego,es ESP,FW,Leganés,es La Liga,24,2000,3,0,3.8,3.8,0.2,4,0.23,0.3,9,16,49,29,2.18,9,0.68,0.1,6,3,1,14.3,2,12,0.9,192,291,25
728,Justin Diehl,de GER,"FW,DF",Stuttgart,de Bundesliga,19,2004,1,0,1,1,0.1,1.1,0.87,0.94,5,5,20,7,6.06,1,0.87,0.14,1,1,1,100,0,4,3.46,55,200,8
729,Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,24,2000,3,0,3.1,2.3,0,2.4,0.34,0.53,6,7,35,13,2.2,6,1.02,0.15,1,3,4,0,0,6,1.02,96,194,5
730,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,30,1994,2,1,1.1,1.1,0.1,1.2,0.18,0.08,12,73,1,9,0.55,5,0.31,0.22,3,5,19,65,20,13,0.8,944,2174,80
731,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31,1993,0,4,0.8,0.8,4.7,5.5,0.15,0.21,23,57,142,13,0.5,3,0.11,0,36,30,65,66.7,25,66,2.53,683,1346,104
732,Kembo Diliwidi,fr FRA,DF,Lens,fr Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,,0,0,0,1,0,0
733,Federico Dimarco,it ITA,"DF,FW",Inter,it Serie A,26,1997,4,7,3.3,3.3,6.1,9.5,0.45,0.39,47,83,232,56,2.32,21,0.87,0.07,48,40,25,52.6,14,96,4,789,1822,76
734,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,30,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,68,240,7
735,Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,23,2000,0,1,0.9,0.9,0.9,1.8,0.31,0.56,5,3,27,8,2.46,0,0,0,3,2,3,33.3,7,6,1.85,82,197,11
736,Eren Dinkçi,de GER,"MF,FW",Freiburg,de Bundesliga,22,2001,0,3,1.1,1.1,2.2,3.3,0.23,0.25,33,35,71,14,1.05,3,0.23,0,23,11,21,30.4,7,43,3.23,269,941,55
737,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23,2001,3,2,1.1,1.1,0.6,1.7,0.23,0.08,8,72,8,9,0.42,4,0.19,0.33,4,1,39,70,30,21,0.97,698,1679,86
738,Yan Diomandé,ci CIV,"MF,FW",Leganés,es La Liga,17,2006,2,1,1.4,1.4,0.9,2.3,0.5,0.38,37,16,64,11,1.82,3,0.5,0.18,14,7,14,33.3,8,37,6.11,200,966,41
739,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,31,1992,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,,0,0,0,4,0,0
740,Issa Diop,fr FRA,DF,Fulham,eng Premier League,27,1997,0,0,0.5,0.5,0.1,0.6,0,0.04,6,25,3,5,0.34,2,0.13,0,3,1,26,72.2,9,6,0.4,533,1216,45
741,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,0,0,1,0,0
742,Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,24,2000,6,4,6,6,2.9,8.9,0.85,0.75,26,64,70,22,1.86,11,0.93,0.27,24,19,23,40.9,17,47,3.98,399,944,73
743,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21,2003,1,2,2.9,2.9,2.8,5.7,0.12,0.23,82,116,94,40,1.62,5,0.2,0.03,33,31,37,40,15,85,3.44,751,2776,154
744,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,24,1999,0,0,0.1,0.1,0,0.1,0,0,0,1,0,1,0.03,1,0.03,0,0,0,2,33.3,1,7,0.21,684,2108,45
745,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,26,1997,0,0,0.1,0.1,0.2,0.3,0,0.04,1,33,6,3,0.41,2,0.27,0,2,0,15,35.7,12,13,1.76,276,400,41
746,Axel Disasi,fr FRA,DF,Aston Villa,eng Premier League,26,1998,0,0,0.1,0.1,0.4,0.5,0,0.09,10,16,5,2,0.37,0,0,0,3,3,8,42.9,5,9,1.65,207,621,15
747,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,26,1998,1,0,0.3,0.3,0.1,0.4,0.25,0.09,6,16,2,2,0.49,1,0.25,0.5,2,2,7,54.5,2,2,0.49,196,519,15
748,Roman Dixon,eng ENG,DF,Everton,eng Premier League,19,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,5,100,1,0,0,16,48,6
749,_lvaro djaló,es ESP,FW,Athletic Club,es La Liga,24,1999,1,0,0.8,0.8,0.9,1.7,0.14,0.23,22,13,60,15,2.05,3,0.41,0.07,4,6,8,33.3,1,12,1.64,151,562,28
750,Djené,tg TOG,"DF,MF",Getafe,es La Liga,32,1991,0,0,0.3,0.3,0.6,0.9,0,0.03,18,74,21,6,0.21,0,0,0,9,13,25,37.5,21,21,0.74,514,1275,102
751,Nasser Djiga,bf BFA,DF,Wolves,eng Premier League,21,2002,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,0,0,0,0,2,0,0,32,37,2
752,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,31,1993,1,2,2.7,2.7,1.3,3.9,0.1,0.13,32,109,42,20,0.68,4,0.14,0.05,11,12,53,72.5,40,30,1.02,1097,3235,102
753,Marko Dmitrovi_,rs SRB,GK,Leganés,es La Liga,32,1992,0,0,0,0,0.2,0.2,0,0.01,0,1,0,0,0,0,0,,1,0,1,50,0,6,0.19,542,1877,37
754,Ritsu Doan,jp JPN,"FW,MF",Freiburg,de Bundesliga,26,1998,10,7,6.6,6.6,3.7,10.3,0.53,0.32,64,130,178,61,1.92,21,0.66,0.16,27,48,66,54.3,14,111,3.49,827,2089,133
755,Dodô,br BRA,DF,Fiorentina,it Serie A,25,1998,0,5,1.4,1.4,4.2,5.6,0.14,0.16,143,128,193,27,0.78,5,0.14,0,36,40,44,51,35,75,2.17,1278,4996,183
756,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,26,1998,1,1,2.6,2.6,1.4,4,0.06,0.12,13,96,14,32,0.94,4,0.12,0.03,13,6,37,56.5,44,32,0.94,883,1988,97
757,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,32,1992,2,1,1,1,1.5,2.6,0.13,0.11,29,79,41,10,0.43,3,0.13,0.2,12,15,38,68,22,25,1.07,825,2176,106
758,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,22,2002,3,6,1.3,1.3,4.8,6.1,0.53,0.36,213,69,286,29,1.72,9,0.53,0.1,32,48,31,53.3,4,79,4.69,796,4865,63
759,Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,18,2006,0,0,0.7,0.7,0.2,0.9,0,0.27,1,4,21,8,2.38,2,0.59,0,5,4,4,40,0,7,2.09,42,62,8
